img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700861218513,1700861218676,-163,1.0
2,1700861218068,1700861218195,-127,37.0
4,1700861217548,1700861217745,-197,-33.0
5,1700861218933,1700861219122,-189,-25.0
6,1700861219184,1700861219347,-163,1.0
7,1700861215351,1700861215540,-189,-25.0
8,1700861215568,1700861215730,-162,2.0
9,1700861215827,1700861215989,-162,2.0
10,1700861215827,1700861215989,-162,2.0
11,1700861215602,1700861215764,-162,2.0
12,1700861215384,1700861215568,-184,-20.0
13,1700861219184,1700861219347,-163,1.0
14,1700861218996,1700861219122,-126,38.0
15,1700861217615,1700861217745,-130,34.0
17,1700861218068,1700861218227,-159,5.0
18,1700861218289,1700861218451,-162,2.0
19,1700861218513,1700861218676,-163,1.0
20,1700861218227,1700861218418,-191,-27.0
21,1700861218480,1700861218642,-162,2.0
22,1700861217615,1700861217787,-172,-8.0
23,1700861217852,1700861218039,-187,-23.0
24,1700861218740,1700861218900,-160,4.0
25,1700861219156,1700861219315,-159,5.0
26,1700861218933,1700861219089,-156,8.0
27,1700861215856,1700861216019,-163,1.0
28,1700861215602,1700861215797,-195,-31.0
29,1700861215602,1700861215764,-162,2.0
30,1700861215856,1700861216019,-163,1.0
31,1700861218900,1700861219089,-189,-25.0
32,1700861219156,1700861219315,-159,5.0
33,1700861218740,1700861218868,-128,36.0
34,1700861217852,1700861218008,-156,8.0
35,1700861217615,1700861217787,-172,-8.0
36,1700861218480,1700861218642,-162,2.0
37,1700861218289,1700861218418,-129,35.0
38,1700861218355,1700861218480,-125,39.0
39,1700861218418,1700861218578,-160,4.0
40,1700861217681,1700861217852,-171,-7.0
41,1700861217787,1700861217946,-159,5.0
42,1700861219028,1700861219249,-221,-57.0
43,1700861218996,1700861219156,-160,4.0
44,1700861218839,1700861219028,-189,-25.0
45,1700861215764,1700861215957,-193,-29.0
46,1700861215635,1700861215856,-221,-57.0
47,1700861215697,1700861215856,-159,5.0
48,1700861215827,1700861215957,-130,34.0
49,1700861218900,1700861219057,-157,7.0
50,1700861218996,1700861219156,-160,4.0
51,1700861219089,1700861219249,-160,4.0
52,1700861217787,1700861217946,-159,5.0
53,1700861217681,1700861217886,-205,-41.0
54,1700861218418,1700861218578,-160,4.0
56,1700861218418,1700861218612,-194,-30.0
57,1700861218355,1700861218513,-158,6.0
58,1700861217787,1700861217915,-128,36.0
59,1700861217681,1700861217820,-139,25.0
60,1700861218227,1700861218385,-158,6.0
61,1700861219028,1700861219184,-156,8.0
62,1700861219156,1700861219283,-127,37.0
63,1700861215635,1700861215827,-192,-28.0
64,1700861215764,1700861215922,-158,6.0
65,1700861215568,1700861215730,-162,2.0
66,1700861215506,1700861215697,-191,-27.0
67,1700861215730,1700861215922,-192,-28.0
68,1700861215635,1700861215797,-162,2.0
69,1700861219089,1700861219283,-194,-30.0
70,1700861219028,1700861219184,-156,8.0
71,1700861218227,1700861218385,-158,6.0
72,1700861217647,1700861217820,-173,-9.0
73,1700861217713,1700861217915,-202,-38.0
74,1700861218355,1700861218513,-158,6.0
75,1700861218480,1700861218612,-132,32.0
76,1700861217519,1700861217681,-162,2.0
77,1700861217256,1700861217452,-196,-32.0
78,1700861219963,1700861220121,-158,6.0
79,1700861220186,1700861220344,-158,6.0
80,1700861219738,1700861219898,-160,4.0
81,1700861219283,1700861219411,-128,36.0
82,1700861219477,1700861219670,-193,-29.0
83,1700861216588,1700861216746,-158,6.0
84,1700861216810,1700861216971,-161,3.0
85,1700861215989,1700861216115,-126,38.0
86,1700861216179,1700861216368,-189,-25.0
87,1700861216179,1700861216368,-189,-25.0
88,1700861215957,1700861216115,-158,6.0
89,1700861216810,1700861217002,-192,-28.0
90,1700861216622,1700861216746,-124,40.0
91,1700861219477,1700861219638,-161,3.0
92,1700861219218,1700861219411,-193,-29.0
93,1700861219738,1700861219865,-127,37.0
94,1700861220186,1700861220344,-158,6.0
95,1700861219963,1700861220121,-158,6.0
96,1700861217256,1700861217452,-196,-32.0
97,1700861217519,1700861217681,-162,2.0
98,1700861217064,1700861217222,-158,6.0
99,1700861217256,1700861217417,-161,3.0
100,1700861217485,1700861217647,-162,2.0
101,1700861220153,1700861220310,-157,7.0
102,1700861219963,1700861220089,-126,38.0
103,1700861219511,1700861219670,-159,5.0
104,1700861219283,1700861219445,-162,2.0
105,1700861216874,1700861217035,-161,3.0
106,1700861216650,1700861216777,-127,37.0
107,1700861216401,1700861216531,-130,34.0
108,1700861216147,1700861216339,-192,-28.0
109,1700861215889,1700861216083,-194,-30.0
110,1700861215957,1700861216083,-126,38.0
111,1700861216147,1700861216339,-192,-28.0
112,1700861216401,1700861216559,-158,6.0
113,1700861216622,1700861216777,-155,9.0
114,1700861216874,1700861217002,-128,36.0
115,1700861219315,1700861219445,-130,34.0
116,1700861219511,1700861219702,-191,-27.0
117,1700861219898,1700861220089,-191,-27.0
118,1700861220153,1700861220310,-157,7.0
119,1700861217485,1700861217647,-162,2.0
120,1700861217256,1700861217417,-161,3.0
121,1700861217064,1700861217222,-158,6.0
122,1700861217320,1700861217485,-165,-1.0
123,1700861217452,1700861217580,-128,36.0
124,1700861217256,1700861217385,-129,35.0
125,1700861220056,1700861220250,-194,-30.0
126,1700861219963,1700861220153,-190,-26.0
127,1700861219477,1700861219638,-161,3.0
128,1700861219347,1700861219511,-164,0.0
129,1700861216746,1700861216938,-192,-28.0
130,1700861216680,1700861216845,-165,-1.0
131,1700861216083,1700861216249,-166,-2.0
132,1700861215989,1700861216147,-158,6.0
133,1700861216588,1700861216746,-158,6.0
134,1700861216588,1700861216712,-124,40.0
135,1700861215989,1700861216147,-158,6.0
136,1700861216083,1700861216249,-166,-2.0
137,1700861216680,1700861216845,-165,-1.0
138,1700861216746,1700861216971,-225,-61.0
139,1700861219347,1700861219511,-164,0.0
140,1700861219445,1700861219607,-162,2.0
141,1700861219963,1700861220153,-190,-26.0
143,1700861217256,1700861217385,-129,35.0
144,1700861217385,1700861217580,-195,-31.0
145,1700861217320,1700861217485,-165,-1.0
146,1700861217452,1700861217615,-163,1.0
147,1700861217385,1700861217519,-134,30.0
148,1700861220027,1700861220186,-159,5.0
150,1700861219315,1700861219477,-162,2.0
151,1700861219379,1700861219575,-196,-32.0
152,1700861219832,1700861220056,-224,-60.0
153,1700861216650,1700861216810,-160,4.0
154,1700861216746,1700861216938,-192,-28.0
155,1700861216019,1700861216179,-160,4.0
156,1700861216115,1700861216278,-163,1.0
157,1700861216147,1700861216278,-131,33.0
158,1700861216019,1700861216179,-160,4.0
159,1700861216746,1700861216905,-159,5.0
160,1700861216650,1700861216810,-160,4.0
161,1700861219898,1700861220056,-158,6.0
162,1700861219445,1700861219607,-162,2.0
163,1700861219315,1700861219477,-162,2.0
165,1700861220027,1700861220186,-159,5.0
166,1700861217385,1700861217519,-134,30.0
167,1700861217485,1700861217615,-130,34.0
168,1700861217161,1700861217355,-194,-30.0
169,1700861216938,1700861217096,-158,6.0
170,1700861220215,1700861220406,-191,-27.0
171,1700861219347,1700861219543,-196,-32.0
172,1700861219575,1700861219738,-163,1.0
173,1700861219832,1700861219963,-131,33.0
174,1700861216746,1700861216905,-159,5.0
175,1700861216249,1700861216434,-185,-21.0
178,1700861216339,1700861216467,-128,36.0
179,1700861216680,1700861216874,-194,-30.0
180,1700861219832,1700861219994,-162,2.0
181,1700861219607,1700861219738,-131,33.0
182,1700861219379,1700861219575,-196,-32.0
183,1700861216971,1700861217128,-157,7.0
184,1700861217161,1700861217355,-194,-30.0
185,1700861217385,1700861217548,-163,1.0
186,1700861216938,1700861217096,-158,6.0
187,1700861217128,1700861217320,-192,-28.0
188,1700861220027,1700861220215,-188,-24.0
189,1700861219832,1700861220027,-195,-31.0
190,1700861219670,1700861219801,-131,33.0
191,1700861216083,1700861216212,-129,35.0
192,1700861216467,1700861216650,-183,-19.0
193,1700861216249,1700861216434,-185,-21.0
194,1700861216249,1700861216401,-152,12.0
195,1700861216467,1700861216650,-183,-19.0
196,1700861216019,1700861216212,-193,-29.0
197,1700861219607,1700861219772,-165,-1.0
198,1700861219832,1700861219994,-162,2.0
199,1700861220056,1700861220215,-159,5.0
200,1700861217128,1700861217320,-192,-28.0
201,1700861216905,1700861217064,-159,5.0
202,1700861217385,1700861217548,-163,1.0
203,1700861216971,1700861217128,-157,7.0
204,1700861217064,1700861217256,-192,-28.0
205,1700861217548,1700861217713,-165,-1.0
206,1700861220215,1700861220406,-191,-27.0
207,1700861219772,1700861219930,-158,6.0
208,1700861219702,1700861219832,-130,34.0
209,1700861216401,1700861216588,-187,-23.0
210,1700861216339,1700861216467,-128,36.0
211,1700861216249,1700861216368,-119,45.0
212,1700861216249,1700861216401,-152,12.0
213,1700861216339,1700861216498,-159,5.0
214,1700861216434,1700861216588,-154,10.0
215,1700861219702,1700861219865,-163,1.0
216,1700861219832,1700861219963,-131,33.0
217,1700861220215,1700861220376,-161,3.0
218,1700861217548,1700861217745,-197,-33.0
219,1700861217128,1700861217256,-128,36.0
220,1700861216971,1700861217161,-190,-26.0
221,1700861217128,1700861217288,-160,4.0
223,1700861219670,1700861219832,-162,2.0
224,1700861219772,1700861219930,-158,6.0
225,1700861219575,1700861219738,-163,1.0
226,1700861216905,1700861217035,-130,34.0
227,1700861216368,1700861216531,-163,1.0
228,1700861216467,1700861216622,-155,9.0
229,1700861216434,1700861216622,-188,-24.0
230,1700861216368,1700861216531,-163,1.0
231,1700861216905,1700861217064,-159,5.0
232,1700861219575,1700861219702,-127,37.0
233,1700861219738,1700861219898,-160,4.0
234,1700861219670,1700861219801,-131,33.0
236,1700861217128,1700861217288,-160,4.0
237,1700861217713,1700861217886,-173,-9.0
238,1700861218162,1700861218323,-161,3.0
239,1700861217946,1700861218099,-153,11.0
240,1700861218642,1700861218805,-163,1.0
241,1700861218839,1700861219028,-189,-25.0
242,1700861215730,1700861215889,-159,5.0
243,1700861215285,1700861215417,-132,32.0
244,1700861215448,1700861215669,-221,-57.0
245,1700861215448,1700861215635,-187,-23.0
246,1700861215697,1700861215889,-192,-28.0
247,1700861218839,1700861218996,-157,7.0
248,1700861218612,1700861218772,-160,4.0
249,1700861217915,1700861218068,-153,11.0
250,1700861218162,1700861218323,-161,3.0
251,1700861217713,1700861217886,-173,-9.0
252,1700861218418,1700861218545,-127,37.0
253,1700861217946,1700861218099,-153,11.0
254,1700861218195,1700861218355,-160,4.0
255,1700861219028,1700861219218,-190,-26.0
256,1700861218805,1700861218965,-160,4.0
258,1700861215506,1700861215669,-163,1.0
259,1700861215285,1700861215448,-163,1.0
260,1700861215319,1700861215448,-129,35.0
261,1700861215506,1700861215697,-191,-27.0
262,1700861218612,1700861218772,-160,4.0
263,1700861218805,1700861218996,-191,-27.0
264,1700861219028,1700861219218,-190,-26.0
265,1700861218195,1700861218355,-160,4.0
266,1700861217978,1700861218131,-153,11.0
267,1700861218355,1700861218545,-190,-26.0
269,1700861218039,1700861218195,-156,8.0
270,1700861218099,1700861218289,-190,-26.0
271,1700861218805,1700861218933,-128,36.0
272,1700861218642,1700861218839,-197,-33.0
273,1700861219218,1700861219379,-161,3.0
274,1700861215448,1700861215635,-187,-23.0
275,1700861215351,1700861215540,-189,-25.0
276,1700861215351,1700861215506,-155,9.0
277,1700861215448,1700861215602,-154,10.0
278,1700861219218,1700861219379,-161,3.0
279,1700861218642,1700861218805,-163,1.0
280,1700861218740,1700861218900,-160,4.0
281,1700861218099,1700861218289,-190,-26.0
282,1700861218039,1700861218162,-123,41.0
284,1700861218068,1700861218227,-159,5.0
285,1700861217978,1700861218131,-153,11.0
286,1700861217915,1700861218039,-124,40.0
287,1700861218676,1700861218839,-163,1.0
288,1700861218805,1700861218965,-160,4.0
289,1700861215319,1700861215476,-157,7.0
290,1700861215384,1700861215568,-184,-20.0
291,1700861215889,1700861216048,-159,5.0
292,1700861215889,1700861216048,-159,5.0
293,1700861215384,1700861215602,-218,-54.0
294,1700861215319,1700861215506,-187,-23.0
295,1700861218805,1700861218965,-160,4.0
296,1700861218676,1700861218868,-192,-28.0
297,1700861217915,1700861218068,-153,11.0
298,1700861217978,1700861218162,-184,-20.0
299,1700861218099,1700861218259,-160,4.0
